artistID,true_label,predicted_label,correct
7392,punk,rock,False
94,electronic,electronic,True
7462,rock,rock,True
6473,hip-hop,soul,False
3904,metal,metal,True
7202,electronic,punk,False
5999,pop,pop,True
829,electronic,electronic,True
3123,pop,pop,True
1019,electronic,electronic,True
6175,reggae,reggae,True
4394,rock,pop,False
1719,metal,metal,True
8181,pop,pop,True
7105,electronic,electronic,True
8451,punk,punk,True
8575,pop,pop,True
734,pop,pop,True
9023,country,country,True
4392,electronic,electronic,True
7257,electronic,electronic,True
5958,hip-hop,hip-hop,True
6559,pop,rock,False
8580,reggae,reggae,True
8430,electronic,electronic,True
3543,rock,rock,True
4856,electronic,electronic,True
6978,electronic,electronic,True
2095,metal,metal,True
3140,electronic,rock,False
2303,rock,pop,False
1056,electronic,electronic,True
7594,jazz,rock,False
2184,hip-hop,hip-hop,True
4061,metal,rock,False
7654,metal,metal,True
6101,pop,pop,True
1916,pop,pop,True
2246,rock,rock,True
8890,electronic,jazz,False
568,punk,punk,True
762,metal,metal,True
6706,metal,metal,True
1673,rock,rock,True
2224,metal,metal,True
2727,metal,metal,True
3091,rock,rock,True
4395,punk,rock,False
2267,electronic,rock,False
8192,rock,rock,True
2604,electronic,electronic,True
4101,electronic,rock,False
4581,rock,metal,False
81,pop,pop,True
6033,pop,pop,True
5350,pop,pop,True
2222,metal,rock,False
1571,punk,rock,False
448,pop,pop,True
7033,rock,rock,True
1415,reggae,soul,False
8119,rock,punk,False
6927,punk,punk,True
3270,country,country,True
3724,reggae,reggae,True
1517,rock,rock,True
5083,pop,electronic,False
6204,electronic,electronic,True
3396,rock,rock,True
6976,electronic,electronic,True
6860,electronic,electronic,True
4724,rock,electronic,False
1407,rock,punk,False
3804,electronic,jazz,False
1660,pop,pop,True
3835,rock,rock,True
4351,rock,metal,False
6881,hip-hop,hip-hop,True
8529,jazz,jazz,True
8921,pop,pop,True
6118,metal,rock,False
6071,pop,pop,True
8919,rock,pop,False
1316,hip-hop,hip-hop,True
3541,rock,electronic,False
8004,punk,punk,True
8239,reggae,reggae,True
7617,rock,rock,True
6721,jazz,jazz,True
2628,metal,metal,True
7277,metal,metal,True
170,rock,rock,True
1963,rock,rock,True
7770,rock,rock,True
2089,metal,metal,True
8512,electronic,rock,False
6245,hip-hop,soul,False
4576,electronic,metal,False
4635,rock,metal,False
2610,rock,metal,False
4305,rock,rock,True
8351,latin,latin,True
5951,hip-hop,hip-hop,True
961,metal,metal,True
5225,metal,metal,True
5408,electronic,electronic,True
6171,rock,rock,True
5305,rock,rock,True
4454,rock,rock,True
6398,electronic,electronic,True
2479,punk,punk,True
5737,jazz,jazz,True
8699,electronic,electronic,True
6644,pop,rock,False
6752,electronic,pop,False
6540,electronic,electronic,True
89,rock,rock,True
7531,latin,latin,True
3317,metal,metal,True
701,rock,rock,True
744,metal,metal,True
7992,soul,soul,True
2250,jazz,jazz,True
8291,country,country,True
2143,electronic,electronic,True
8994,pop,pop,True
7638,rock,rock,True
6747,pop,country,False
3032,punk,punk,True
3099,pop,rock,False
4640,metal,metal,True
8897,electronic,electronic,True
8947,electronic,electronic,True
1011,rock,rock,True
8670,hip-hop,hip-hop,True
8149,punk,punk,True
1418,electronic,electronic,True
7453,pop,rock,False
6247,rock,rock,True
1528,rock,rock,True
8420,pop,soul,False
5762,metal,metal,True
1651,pop,pop,True
77,pop,pop,True
4636,electronic,electronic,True
5256,pop,rock,False
7928,soul,soul,True
8930,electronic,electronic,True
7094,electronic,electronic,True
3146,metal,metal,True
7648,electronic,electronic,True
7539,pop,pop,True
8746,pop,pop,True
512,pop,pop,True
8377,electronic,electronic,True
1729,metal,metal,True
1784,pop,pop,True
564,rock,rock,True
6594,electronic,electronic,True
1150,punk,punk,True
249,pop,pop,True
8073,rock,rock,True
2645,metal,electronic,False
2302,pop,pop,True
7166,electronic,rock,False
3306,hip-hop,hip-hop,True
6551,rock,latin,False
2255,jazz,jazz,True
7306,hip-hop,latin,False
8299,electronic,electronic,True
7404,electronic,electronic,True
909,rock,rock,True
6855,electronic,electronic,True
2544,punk,punk,True
4451,rock,rock,True
4723,rock,rock,True
1781,pop,pop,True
7766,electronic,pop,False
2421,rock,rock,True
3064,pop,pop,True
3529,pop,rock,False
7132,rock,rock,True
5185,pop,pop,True
3860,metal,metal,True
1329,rock,rock,True
2253,country,country,True
96,electronic,electronic,True
7717,electronic,pop,False
4388,rock,rock,True
5697,electronic,electronic,True
1769,jazz,rock,False
3108,metal,metal,True
316,rock,rock,True
6006,pop,electronic,False
2200,hip-hop,hip-hop,True
5247,metal,metal,True
3978,electronic,electronic,True
4229,rock,rock,True
2313,metal,metal,True
3838,pop,pop,True
3625,rock,rock,True
4957,electronic,rock,False
8774,electronic,electronic,True
2642,rock,rock,True
3095,rock,punk,False
764,metal,metal,True
3574,electronic,electronic,True
5489,pop,pop,True
4634,electronic,electronic,True
5019,soul,pop,False
4344,rock,rock,True
8107,rock,pop,False
8249,pop,pop,True
6335,metal,metal,True
5767,metal,metal,True
1881,latin,latin,True
120,electronic,electronic,True
6172,rock,rock,True
8978,rock,rock,True
9041,rock,electronic,False
2860,electronic,electronic,True
6664,metal,metal,True
8150,punk,punk,True
2485,electronic,hip-hop,False
5268,rock,rock,True
6027,electronic,electronic,True
2914,electronic,pop,False
6082,pop,rock,False
5867,electronic,electronic,True
4908,pop,pop,True
1315,hip-hop,hip-hop,True
268,hip-hop,hip-hop,True
6628,rock,rock,True
5293,metal,metal,True
1184,hip-hop,hip-hop,True
1128,rock,rock,True
1196,country,electronic,False
1558,hip-hop,hip-hop,True
7054,rock,rock,True
4242,hip-hop,hip-hop,True
5260,pop,latin,False
4938,electronic,electronic,True
1088,metal,metal,True
790,pop,pop,True
6713,electronic,electronic,True
8127,electronic,electronic,True
4626,electronic,pop,False
4206,rock,rock,True
1946,pop,pop,True
8770,rock,rock,True
3990,pop,rock,False
2349,hip-hop,hip-hop,True
3986,metal,metal,True
1741,hip-hop,hip-hop,True
7734,rock,rock,True
709,rock,rock,True
2317,rock,rock,True
4487,metal,metal,True
8088,electronic,electronic,True
7320,latin,latin,True
6109,electronic,pop,False
3662,rock,rock,True
3862,rock,metal,False
319,pop,pop,True
5108,rock,rock,True
213,soul,soul,True
2457,jazz,jazz,True
1544,electronic,electronic,True
2454,pop,pop,True
7264,electronic,electronic,True
7605,rock,rock,True
5404,metal,rock,False
7516,electronic,electronic,True
2393,rock,rock,True
108,electronic,electronic,True
6670,electronic,electronic,True
922,rock,rock,True
5468,pop,pop,True
2178,hip-hop,hip-hop,True
2778,hip-hop,metal,False
7557,rock,rock,True
3439,punk,punk,True
4416,latin,latin,True
7952,pop,pop,True
2996,electronic,electronic,True
240,soul,soul,True
8042,soul,soul,True
8784,hip-hop,hip-hop,True
223,hip-hop,hip-hop,True
4669,rock,rock,True
6348,punk,rock,False
7611,rock,rock,True
6552,rock,rock,True
4297,rock,rock,True
132,pop,pop,True
4467,electronic,electronic,True
5345,country,country,True
5850,hip-hop,hip-hop,True
3128,electronic,electronic,True
9014,punk,rock,False
519,pop,pop,True
7459,pop,pop,True
5757,electronic,electronic,True
6897,punk,punk,True
6376,metal,metal,True
4557,electronic,electronic,True
5363,pop,pop,True
8208,electronic,electronic,True
7081,electronic,rock,False
7946,jazz,jazz,True
1863,latin,latin,True
7829,metal,metal,True
1079,electronic,electronic,True
7759,rock,rock,True
7521,electronic,electronic,True
3147,metal,metal,True
8759,electronic,electronic,True
1113,metal,metal,True
3708,punk,punk,True
3626,metal,metal,True
1746,hip-hop,hip-hop,True
7639,electronic,electronic,True
93,electronic,electronic,True
6214,hip-hop,hip-hop,True
3663,rock,rock,True
5156,hip-hop,hip-hop,True
8862,electronic,electronic,True
1742,hip-hop,hip-hop,True
8230,electronic,electronic,True
6797,punk,punk,True
4369,hip-hop,hip-hop,True
3012,pop,rock,False
7237,jazz,jazz,True
2689,punk,punk,True
3412,soul,soul,True
361,rock,rock,True
4867,punk,rock,False
1157,rock,rock,True
6081,electronic,electronic,True
7712,rock,rock,True
4304,pop,latin,False
4193,rock,rock,True
458,rock,rock,True
8495,pop,metal,False
7925,rock,rock,True
3609,metal,metal,True
6445,electronic,electronic,True
3334,rock,rock,True
5660,rock,rock,True
6781,electronic,electronic,True
1163,rock,rock,True
2998,rock,rock,True
3915,metal,metal,True
1889,electronic,electronic,True
322,rock,rock,True
8160,rock,rock,True
4752,rock,rock,True
3818,electronic,electronic,True
6235,punk,punk,True
4740,electronic,electronic,True
4332,pop,pop,True
5198,metal,metal,True
3280,soul,soul,True
8924,electronic,electronic,True
4114,pop,electronic,False
4979,rock,rock,True
8391,metal,metal,True
8337,punk,punk,True
7470,electronic,electronic,True
555,metal,metal,True
4335,pop,rock,False
1666,soul,pop,False
5839,rock,rock,True
5564,pop,pop,True
1624,electronic,electronic,True
6319,pop,pop,True
2875,punk,rock,False
7384,country,country,True
5275,hip-hop,hip-hop,True
1604,pop,pop,True
3950,punk,pop,False
7559,pop,rock,False
1373,pop,electronic,False
2918,electronic,hip-hop,False
6199,electronic,electronic,True
48,electronic,electronic,True
4387,electronic,electronic,True
2883,electronic,electronic,True
7699,rock,rock,True
8923,electronic,electronic,True
6930,rock,rock,True
2400,hip-hop,hip-hop,True
1966,metal,metal,True
5750,pop,pop,True
1503,pop,pop,True
593,electronic,electronic,True
1072,electronic,electronic,True
995,metal,metal,True
6549,rock,pop,False
624,pop,latin,False
2698,reggae,reggae,True
4014,hip-hop,rock,False
2456,rock,rock,True
3017,metal,metal,True
6673,electronic,electronic,True
4033,electronic,hip-hop,False
669,metal,metal,True
7753,pop,pop,True
3400,rock,rock,True
1394,latin,latin,True
331,latin,latin,True
2882,pop,pop,True
7183,pop,punk,False
3131,electronic,punk,False
5853,hip-hop,hip-hop,True
1340,pop,pop,True
2756,rock,rock,True
4904,metal,metal,True
5810,punk,punk,True
2940,hip-hop,electronic,False
1146,hip-hop,hip-hop,True
7858,pop,rock,False
765,rock,rock,True
4926,country,pop,False
1964,rock,rock,True
107,electronic,rock,False
2889,pop,pop,True
1865,country,country,True
3003,rock,electronic,False
4005,metal,metal,True
8867,electronic,electronic,True
2869,pop,rock,False
15,electronic,electronic,True
5642,metal,metal,True
5383,rock,rock,True
3481,punk,jazz,False
1935,rock,pop,False
5609,pop,latin,False
287,rock,pop,False
2167,rock,pop,False
4130,metal,metal,True
5688,rock,rock,True
2955,electronic,electronic,True
4072,pop,pop,True
1594,rock,rock,True
1958,metal,metal,True
1562,pop,pop,True
3406,rock,rock,True
2277,punk,punk,True
5937,electronic,electronic,True
8035,rock,rock,True
2226,metal,metal,True
4598,electronic,electronic,True
966,punk,rock,False
4254,hip-hop,hip-hop,True
5012,pop,pop,True
5639,pop,pop,True
8376,electronic,electronic,True
2834,electronic,electronic,True
3750,rock,rock,True
3266,country,country,True
4008,rock,rock,True
748,metal,metal,True
3571,metal,metal,True
7825,punk,rock,False
1795,rock,rock,True
8186,pop,pop,True
4770,punk,punk,True
5270,rock,rock,True
7243,rock,rock,True
7955,rock,rock,True
2133,electronic,electronic,True
5328,rock,rock,True
3910,rock,pop,False
8553,metal,metal,True
1039,electronic,electronic,True
510,electronic,pop,False
5905,punk,punk,True
7887,jazz,jazz,True
1384,electronic,electronic,True
4619,jazz,jazz,True
5457,rock,rock,True
7008,rock,rock,True
7685,rock,rock,True
5488,rock,rock,True
8250,pop,pop,True
4506,electronic,electronic,True
2674,country,country,True
3397,metal,metal,True
2945,pop,rock,False
6004,pop,electronic,False
3913,rock,metal,False
8967,rock,rock,True
4299,rock,rock,True
1502,pop,rock,False
2580,metal,metal,True
3133,electronic,electronic,True
8622,electronic,electronic,True
583,pop,rock,False
8599,electronic,rock,False
